7419047	Karak	03	33.13609	71.08336	815878
7419048	Hangu	03	33.44718	70.88772	518811
7419049	Peshawar Frontier Region	03	33.74097	71.74599	0
7419050	Tribal Area Adjoining Kohat	03	33.66399	71.59205	0
7419051	Charsadda	03	34.25102	71.69037	1835504
7419052	Nowshera	03	33.92538	71.98092	1740705
7419053	Shangla	03	34.68516	72.70139	759609
7419054	Haripur	03	33.9459	72.91146	1173056
7419055	Swabi	03	34.14133	72.47665	156496
7419056	Lower Dir	03	34.85194	71.85335	1650183
7419077	Ghanche	07	35.21695	76.42429	88366
7419156	Jamshoro	05	25.74112	67.81364	1117308
7419157	Matiari	05	25.87582	68.41338	849383
7419159	Nankana Sahib	04	31.48198	73.69882	1634871
7536187	Bhimbar	06	33.00941	74.11762	420624
7536188	Bagh	06	33.99611	73.75769	0
8061265	Tor Ghar	03	34.55872	72.85207	171349
8199376	Neelum	06	34.93	74.504	216000
8224052	Battagram	03	34.68051	73.00535	554133
8309731	Rajanpur	04	29.15928	70.15183	2323980
8309748	Astor	07	35.31352	74.92388	71666
8309754	Haveli	06	33.92591	74.11295	152124
8309755	Hatian	06	34.17282	73.84699	230529
8309758	Harnai	02	30.16616	67.68111	97052
8309759	Shirani	02	31.75421	69.70663	191687
8358419	Gilgit	07	35.88013	74.41232	330000
8358421	Diamir	07	35.53409	74.03287	0
8986039	Sudhanoti	06	33.715	73.68583	297584
9034783	Qamber Shahdadkot	05	27.58917	68	1514869
9035095	Kashmore	05	28.44107	69.58354	1233957
9072726	Umerkot	05	25.37	69.73	1159831
9625763	Tando Allahyar	05	25.46	68.72	922012
9625902	Tando Mohammad Khan	05	25.01667	68.48333	726119
10300608	Sujawal	05	24.60639	68.07194	839292
10344547	Vehari	04	30.04194	72.35278	3430421
11594770	Ghizer	07	36.1667	73.75	0
11744831	Karachi Central	05	24.95531	67.07147	3822325
11744832	Karachi East	05	24.9238	67.12322	3913656
11744833	Karachi South	05	24.82426	67.03311	2329764
11744834	Kharmang	07	34.90302	76.0805	0
11744835	Korangi	05	24.85545	67.16728	1362998
11744837	Malir	05	25.14593	67.31375	2008901
11744838	Nagar	07	36.27332	74.62348	87500
11744839	Shigar	07	35.76145	75.75074	0
11744842	Sohbatpur	02	28.50933	68.64553	240106
11886901	Chiniot	04	31.72	72.98	1563024
12105028	Lower Kohistan	03	35.11028	73.00495	340017
12105031	Upper Kohistan	03	35.27377	73.22684	300000
12105033	District of West Karachi	05	24.90847	66.86663	0
13631695	Usta Muhammad	02	28.17833	68.04305	0
